	id	anger	anticipation	disgust	fear	joy	love	optimism	pessimism	sadness	surprise	trust	cleaned_tweet
0	2018-Ar-00259	1	0	0	1	0	0	0	1	1	0	0	ظلينا نتكلم ساعات ساعات رتبت فيها نفسي وبكيت فيها مخاوفي مازلت أحس بشعور غريب وكأني رحلت من البيت للتو وهذا الشعور أقدر أتحمله
1	2018-Ar-02696	0	0	0	0	1	1	1	0	0	0	0	كل سنه وانتي بخير ياقلبي وكل سنه وانتي سعيده يارب 😍 ❤️ 🎈 🎈
2	2018-Ar-03596	0	0	0	0	0	1	1	0	0	0	0	البسطاء يمتلكون أرواح نادره جداتجدهم بمظهر متواضع لكنهم بمحتوى باهض وراقي ينعمون بهدوء النفس لأنهم يمتلكون كنزالقناعة #سنام_المجد_للدعم
3	2018-Ar-02999	0	0	0	1	0	0	0	0	0	0	0	مومعقول اللي قاعد يصير فيني هالايام يارب ماينتابني شعور الخوف والتوتر اللهم التركيز وأعلى الدرجاتت
4	2018-Ar-02716	1	0	0	0	0	0	0	0	1	0	0	انا اكثر شخص متناقض بداخلي حب وكره وامل وقنوط للحين ماعرفت نفسي
5	2018-Ar-04161	0	0	0	0	1	1	0	0	0	0	0	وانتي واسرتك الكريمة بخير و سرور اختي المحترمة 💜 🌹
6	2018-Ar-01931	1	0	0	0	0	0	0	0	0	1	0	واللي يغيظ ان اريكسن جاب 11 ووالكر جاب 9 وكوستا جاب 16 ومهزلة يعني عامل تريبل كابتن لاقل واحد جاب نقط 😍
7	2018-Ar-02388	1	0	0	0	0	0	0	0	1	0	0	النفاق الإلكتروني عندما تجد مواقع التواصل الإجتماعي مليئة بالأدعية والمساجد فارغة #حسرة
8	2018-Ar-03500	1	0	0	0	0	0	0	0	0	0	0	استياء شعبي
9	2018-Ar-00456	0	0	0	0	0	0	0	1	1	0	0	الشي الوحيد الي مخليني بهالحساب انو تقريبا محد يعرفني فيه وماني مستعدة اواجه حقيقة اني في حالة انكسار:(
10	2018-Ar-02080	0	0	0	1	0	0	0	0	0	0	0	ثانيه واحده بس كدا .. يعني افلام الرعب اللي طول عمري اتفرج عليهم عادي بالنسبالي وكفر دلهاب مرعوبه اتفرج 5 دقايق ع بعض ..
11	2018-Ar-01083	1	1	0	1	0	0	0	0	0	0	0	غلطة ياسر المسيليم طبيعية جدا ومتوقعة من لاعب اقدامه مرتجفة \n\nولكن \nكيف ضم الزوري المبتعد عن المباريات وتحجج بالابتعاد عشان يزحلق العويس؟
12	2018-Ar-01747	1	0	1	0	0	0	0	0	0	0	0	انا غاضبة ورائحة افواه الصائمين تزيد من غضبي اكثر #قرف
13	2018-Ar-02489	1	0	0	0	0	0	0	1	0	0	0	عبودي رافع ضغطي عندنا ولد جار يشبه عبودي ودي اتوطأ في بطنه وبطن عبودي
14	2018-Ar-03809	0	0	0	0	1	1	1	0	0	1	0	اعلان 500500 مبهج جداا بس ليه لميس
15	2018-Ar-02338	1	0	1	0	0	0	0	1	0	0	0	❗\n\nفي مصر :- احنا بنشتغل عشان نجيب فلوس نروح بيها الشغل !🐸✋\n\n❕ - يشعر بـالاستياء
16	2018-Ar-02635	0	0	0	0	1	1	1	0	0	0	0	الحمدلله اذا حسيت اني مرضيه ربي احس بسعاده داخليه ليت اللذي بيني وبين الله عامر واالذي بيني وبين الناس خراب
17	2018-Ar-03712	0	0	0	0	0	0	1	0	0	0	1	@nowaaaash ليش وسواس تعوذي من الشيطان واكثري من الاستغفار حتى انا يجيني بس لاني انشغلت في علوم القران والدراسه سبحان الله اختفى تماما
18	2018-Ar-01771	1	0	0	0	0	0	0	0	0	0	0	واحدة بعربية bm عالاذان بالضبط خبطتني من ورا نزلت مخضوض اتخانق و اشتم لقيتها قعدة مذعورة و بتتأسف و تقول سرحت .. سيبتها و مشيت 😑
19	2018-Ar-03261	1	0	0	0	0	0	1	0	0	0	1	لحظة #صبر في لحظة #غضب تمنع ألف لحظة #ندم
20	2018-Ar-03322	0	0	0	0	1	1	0	0	0	0	0	يشبه شي كنت استخدمه، المهم انبسطي وقضي اوقات ممتعة، انا انبسطت معاك في سناباتك، شكرًا💙
21	2018-Ar-01372	1	0	0	0	0	0	0	0	0	0	1	إدعس سعادة المستشار على رقاب الجحوش قبحهم
22	2018-Ar-03513	0	0	0	0	1	1	0	0	0	0	1	23_ بحب ضحكتك جدا والله وانتي عسل ودمك خفيف جدا مبسوط اني عرفتك وبعزك جدا والله يعني وبرضه محدش هيكتبلك رسايل علي صراحه دادادا 😂 ❤️❤️❤️❤️
23	2018-Ar-03590	1	0	0	0	0	0	0	1	0	0	0	@RolaFouad @mshinqiti @BlueSam2011 المغرب ماهو فاضي يفتح جبهه خصوصا ان الريف يغلي عليه غليان فتصور تغطي اخبارها الجزيرة.  فقط تغطيه
24	2018-Ar-03402	1	0	0	0	0	0	0	0	0	0	0	ياخي ده انت بتتعذب و انت بتتكلم الله يحرقك يا كابتن متحت و موت بغيظك 💅🏻
25	2018-Ar-04003	0	1	0	0	0	0	0	0	1	0	0	@alkuwaite_7 ابي مساعده  الي يكدر يساعدني  ربي يجعلها بميزان حسناتكم  اقسم بالله  محتاجه مساعده
26	2018-Ar-00692	1	0	1	0	0	0	0	0	0	0	0	عند سقوطه لا يعدم و انما يقتاد الي عنبر الخطيرين في مستشفى الامراض العقلية و منه تسقط كل توقيعاته و لا يعترف او يعتد بها طالما هو #مجنون
27	2018-Ar-00785	0	0	0	0	1	1	1	0	0	0	1	بيض الله وجهك والله ماقصرت وواصل الى الامام ماعليك من الاعلام المعادي اتمنى ابعاد كل لاعب يتمرد على النادي مشجع نصراوي30سنه
28	2018-Ar-00976	0	0	0	0	1	1	1	0	0	0	0	عيد سعيد جميعا كل سنة وإنتو طيبين يارب أتمنى لكم عيد مليء بالأفراح مع اللي تحبوهم ولا مانع من العيديات والشوكلاتات والمفآجات 😍 🎈 🎁
29	2018-Ar-02799	0	0	0	1	0	0	0	0	1	0	0	تخيل نفسك هزيل الجسد مرعب الهيئة خالي من التعابير نظرة الخوف واليأس تشرح حالك حاول ان تحفظ هذه اللحظة وكل وقت ترى نازح تذكرها وساعده
30	2018-Ar-00419	1	0	1	0	0	0	0	0	1	0	0	@Bobleshc @YehiaMayar لا ازاى يا حبيبي نام و ارتاح  😞  😠
31	2018-Ar-03416	0	0	0	0	1	0	1	0	0	0	1	#KingJiyongIsBack- ﴿ وما كان الله معذبهم وهم (يستغفرون) ﴾ #أمان 💭 💘 -
32	2018-Ar-01921	0	0	0	0	1	1	1	0	0	0	0	#بهجة_أمل 💕\n٩٩.لماتنزل درجة المادة ماقبل الأخيرة 😍😍😍😍😍ياربي ايش اسوي أطير يعني ولا أنقز والله ايش بالضبط صارقلبي بستان شكرايارب لأنك معايا😍💕
33	2018-Ar-00206	0	0	0	1	0	0	0	1	0	0	0	الأنا خايف منو وبقرض في أضافري من التوتر إنو البيتكوين يبقى بعد شوية من متطلبات الشيلة والله إلا نجعر
34	2018-Ar-03102	1	0	0	0	0	0	0	0	0	0	0	#البشير_يتطاول_على_مصر يا صبر ايوب
35	2018-Ar-01690	0	0	0	0	1	1	0	0	0	0	1	شبابه حلو والله ومجنون ودمه خفيف احب مسلسلاته القديمة
36	2018-Ar-00509	0	1	0	1	0	0	1	0	0	0	0	زي انهاردة من سنة كنت قلقان و متوتر  و حاسس بشعور طلاب الثانوية العامة دلوقتي .\nفا يارب اصلح حالهم و اكرمهم 💔\n#ثانويه_عامه
37	2018-Ar-00134	0	0	0	0	1	1	0	0	0	0	0	عنجد انت شخص كلمة حب قليلة عليك وكلمة طيب كمان قليلة انت مو بس #فرحة_رمضان انت فرحة كل العالم 😍 ❤ #تركا_علينا
38	2018-Ar-00038	0	0	0	1	1	0	0	0	0	0	0	@moonalkon2 ذكرني فيني باول برزنتشين ارتجاف وهوف مو طبيعي😂😂😂
39	2018-Ar-00804	1	0	1	0	0	0	0	1	0	0	0	انتو حتى عقولكم ممنوعه من سماع الراي الاخر وممنوعه من قول الحق بدليل مستشاركم الي مسح تغريدته هذا مب خوف وترهيب للشعب
40	2018-Ar-00767	0	0	0	0	1	1	1	0	0	0	0	اليوم راح نبلش بالمشروع عند اشارة القرين ❤️😍\nالتوزيع راح يكون وجبة افطار صائم وهيا عباره عن : تمر ،  لبنه ، ماي ، لبن . \n#ابتسم_تكفى
41	2018-Ar-02958	1	0	0	0	0	0	0	0	1	0	0	#إهمال_المدارس_الثانويه_في_تأخير_الملفات\n- يعني عيب والله يكفي انو ذي الفتره كلها اختبارات تحصيلي , نهائي , قدرات💔💔.
42	2018-Ar-00245	0	0	0	0	1	1	1	0	0	0	0	يا باغي الخير أقبل #فرحهم_ب_كسوة_العيد كن سببا لإبتسامة يتيم أو محتاج
43	2018-Ar-01208	1	0	1	0	0	0	0	0	0	0	0	@momo04179 الله لاسامحك لادن يا ولا اخره قصدك من كتب كتب خافي الله لما تقولي هاذا الكلام لجميع اليمنيين
44	2018-Ar-00460	0	0	0	0	0	0	0	0	1	0	0	وقع فمات القصه حزينه
45	2018-Ar-02600	1	0	0	0	0	0	0	0	1	0	0	ماأصلح للإستغلال أبدا لأني على رغم الضعف اللي تشوفه فيني أقدر أستبدله بخبث فالله يرضى عليك إبعد وإنت طيب
46	2018-Ar-00723	1	0	0	0	0	0	0	0	1	0	0	"@maroko_chan "" اقل ما فيه انه يذل ، يهين ، يسقط الكرامه "" الواحد وش ينتظر خطوره اكثر من انه تنهان كرامته و ينذل!"
47	2018-Ar-03917	0	0	0	0	1	1	1	0	0	0	0	✨ تقبل الله منا ومنكم ✨ وعيدكم بهجة لا تغادركم أبدا
48	2018-Ar-01590	1	0	0	0	0	0	0	1	1	0	0	#تعب #حزن #ضيق #وجع #ارهااق #مختنق #صدماات
49	2018-Ar-02950	0	0	0	1	0	0	0	1	0	0	0	@FatimGuc99 @Tatiimah اهم فيه شعلله لو على خفيف 😂 اصلاً الشعلله الزايده ذي مو عاجبتني سببت لي توتر اخاف يفوتني شي
50	2018-Ar-02588	0	0	0	0	1	1	1	0	0	0	0	#طروب #فنانة_من_لبنان صوت ايجابي وبيحض على الفرح وكذا (ما بعرف شو ذكرني فيا على كل حال صباحو يا جماعة) 🤗
51	2018-Ar-01052	0	0	0	0	1	1	1	0	0	0	0	والله بروج انتي من يوم ما اشوفك ابتسم لا شعوريا وجهك يجيب الانشكاح والتفاؤل ماشاءالله 😍 😂 💗
52	2018-Ar-03447	0	1	0	0	0	0	1	0	0	0	0	اللهم اني اعوذ بك من الهم و الحزن واعوذ بك من العجز و الكسل واعوذ بك من الجبن و البخل واعوذ بك من غلبة الدين وقهر الرجال
53	2018-Ar-03018	0	0	0	0	1	1	1	0	0	0	0	عيدكم مبارك وسعيد نبتهج بالعيد وإن كان في القلب حبيب بعيد او واقع ألمه يزيد فلن يسرق منا سعادة العيد السعيد — feeling festive
54	2018-Ar-02214	0	0	0	0	1	1	0	1	0	0	0	إيه لا لا لا...😉😉 الفرح حيبوظ على وحدة ماتت ولا إيه😂😂🙊🙉🙈🙈😂😂 #أكرم_حسني ❤ #الحب #خفة_دم   🙈🙉💚💚😂\n#ريح_المدام
55	2018-Ar-04230	1	0	1	0	0	0	0	0	0	0	0	عندما غضب المصريون غضبة مضرية لفكرة تخصيص مستشفى جابر للكويتيين لم ننفعل بهذا الشكل #تطاول_الوافدين_علي_صفاء_الهاشم
56	2018-Ar-03711	1	0	0	1	0	0	0	0	1	0	0	بس أبكي واكون ضعيفه ومستسلمه، وساعات يجيني خفقان قلب وانهار! اهلي شكّو انه صرع.
57	2018-Ar-03189	1	0	1	0	0	0	0	0	1	0	0	كنت متحمس لحلقه اليوم ومتحمس ايضا بمشاركه حسين عبدالرضا لاكن انصدمت فعلا بأن القلب السعودي حسود يكره الحب نكدي ملقوف 👎 🏼 #سيلفي٣
58	2018-Ar-04168	0	1	0	1	0	0	0	0	0	0	0	ولكنني قلق دوما حيال الأمور التي لم تحدث بعد تلك الأمور المنتظرة  💙 (ღميرووღ)
59	2018-Ar-01879	0	1	0	1	0	0	0	0	0	0	0	خايف امسح اي ورق من علي الموبيل او اعمل unsave لحد م اشوف هعدي ف ايه وهشيل ايه 😁 مع اني مكنتش بفتحهم اصلا غير ليلة الامتحان 😂😂😂
60	2018-Ar-03854	0	0	0	0	0	0	0	0	1	0	0	مشاعرى تشكو الغياب وتقيم الحداد كلما تذكرتك يامي خيم الحزن على قلبي وكان غيمة سوداء تصب مطرها من دموعي اه ياوجع الرحيل
61	2018-Ar-01939	0	0	0	0	0	0	0	1	1	0	0	#بخاطري_ودي_اقول ومع كل غياب يسقط منا شيء إما قطعة ثقة أو ربما خيبة أمل
62	2018-Ar-04211	0	0	0	0	1	1	0	0	0	0	0	@3hod04 اليسا فناناتي المفضلة من البوم بدي دوب 😘 و ائل كفوري . . . و كاظم الساهر لانو يغني لنزار قباني و الباقي مود اجنبي 👻
63	2018-Ar-04282	1	0	1	0	0	0	0	0	0	0	0	واصلا فلسفه زايده 🙂 وش دخلك اصلا اذا انا حزينه او لا جاي تقيم حزني مثلا
64	2018-Ar-00904	1	0	0	0	0	0	0	0	1	0	0	مابعرفش أسيطر على إنفعالي الطفولي ودي حاجة دايما بتسببلي إحراج والله 😞
65	2018-Ar-01731	0	0	0	0	1	1	1	0	0	0	0	"#Birthday_HEM تونايت: يلي "" وجهك يعلمني معنى الفرح يحسسني إن الحياة بكبرها ضحكة ثغر"""
66	2018-Ar-02003	1	0	0	0	0	0	0	0	1	0	0	كل هذاولا سال عن السبب مع ان ممكن يكون سبب تافه اودلع بنات على قولتهم كان كل همه من اللي نزل دموعي كانت ردت فعله بس يبي ينتقم من اللي زعلني
67	2018-Ar-01262	1	0	0	0	0	0	0	0	0	0	0	ايش يبغون الاتراك مسوين انقلاب وقلق
68	2018-Ar-01002	0	0	0	0	1	0	0	0	0	1	0	أول مرة يقعد مع خطيبته ؟\nمن الارتباك سألها :\n\nاخوك الكبير احمد شنو اسمه ؟\nقالت : أي واحد فيهم !😂\n\nواضح فيه توافق فكري الله يوفقهم😂
69	2018-Ar-01213	0	0	0	0	1	1	1	0	0	0	0	#بهجة_أمل \n٨٩.*أمل لما أتكلم معاك أحس براحة نفسية و ما نفسي أوقف *\n*أمل انت قاعدة توريني الحياة من جهة ثانية و تفتح لي آفاق *💕💛🍭
70	2018-Ar-02299	0	0	0	0	1	1	1	0	0	0	0	#ربي أدخل #شهر_رمضان #علينا وأنت #راضي عنا و إجعلة شهر #تتبدل فية #ذنوبنا إلى #حسنات #وهمومنا إلى #أفراح #وأحﻻمنا إلى #واقع
71	2018-Ar-02614	0	0	0	0	1	1	0	0	0	0	0	السلام عليكم صباح الخير سعادة الدكتور عبداللة اشكركم على جهودكم لتوعيتنا واهتمامكم فينا كابناكم #فرحتي_بنجاحي
72	2018-Ar-03546	0	1	0	0	1	1	1	0	0	0	0	تتوقعون وش بيصير الاحد 😎😂 داىم يبهرنا سرور بااشياءه فااباذن الله شي جميل #سنابات_سرور_الروقي
73	2018-Ar-01709	0	0	0	0	0	1	1	0	0	0	0	ثلاث نقاط مهمة بالنسبة لأي شخص .. \n-طلع يلي في قلبك مع شريك حياتك \n-استمتع بحنان أهلك\n-إصنع الإبتسامة لأصدقائك☺\n#أنس 💙
74	2018-Ar-02961	1	0	1	0	0	0	0	1	1	0	0	يوم أسود في تاريخ #مصر احساس بالمهانة غير سبوق نواب عار هيدخلوا التاريخ من اقذر ابوابه حسبنا الله و نعم الوكيل #تيران_وصنافر_مصرية
75	2018-Ar-03437	0	0	0	0	1	1	0	0	1	0	0	مفيش حاجه مبهجه انهارده غير اعلان  cristiano ronaldo ❤\nI love you bgd 😂😍❤
76	2018-Ar-04159	0	0	0	0	1	1	1	0	0	0	0	وأعشقُ الصبحَ اذا تسري نسائمهُ\nتعيدُ في كل روحٍ .. بسمة الأملِ\n.\nلنآ مع الصبحُ .. أمالٌ نرجيهآ\nونسألُ اللهِ فيهِ صالحَ العملِ\n.\nصباح الخير💭💜
77	2018-Ar-01975	1	0	1	0	0	0	0	1	1	0	0	#ترحيل_مهند_الفلسطيني_مطلبنا بصراحة في تساهل مع الوافدين كم من اجنبي مجرم تمت محاكمته وسجنه ثم يرحل ويسمح له بالعودة إلى بلدنا
78	2018-Ar-02671	0	1	0	1	0	1	1	0	0	0	0	والدي استودعتك الله من كل شر لقد قلقت عليك كثيرا هاهي الساعه السابعة وخمسة وأربعون دقيقة وأنت لم تأت بعد من صلاة الفجر حفظك الله
79	2018-Ar-03075	0	0	0	0	1	1	1	0	0	0	0	طب انا اقسم بالله بسمع اغنية راجعين جسمي بيقشعر حلاوة اول حلقه وانشكاح اول حلقه بكل مافيها من احاسيس متلخبطه 😍 😍
80	2018-Ar-03563	0	1	0	0	0	1	0	0	1	0	0	الشوق غصة وارتجافة واختناق ما لي معه حيلة ولا لي فيه حيل *
81	2018-Ar-01417	0	0	0	0	1	0	0	0	0	0	0	سعيد 🙈 😻 ربنا يسعدك دايما بالخير 🙋 ❤ وينور قلبك بالفرح والسعاده يارب دايما 💕 🍫
82	2018-Ar-01570	0	1	0	0	1	1	1	0	0	0	0	وابدأ افتكر كل حاجة حلوة من تاني كده، كمية التشويق اللي في الموضوع ده كبيرة جداً واتمني يكون في حد عنده نفس الرغبة دي عشان ماحسش نفسي عبيط
83	2018-Ar-00331	0	0	0	0	1	1	1	0	0	0	0	ابتهاج اجتماع الحبايب والله يزيد السعادة سعادة❤️
